TestCase,aadhaar,client_ref_num
Verify by entering valid linked aadhaar number,539402165875,Vampire
Verify by entering valid not linked aadhaar number,241536798669,Vampire
Verify by entering in-valid aadhaar number,53940216587#,Vampire
Verify by entering aadhaar number as numeric char,1234567890,Vampire
Verify by entering aadhaar number as alpha char,QWERTYUIOP,Vampire
Verify by entering aadhaar number special char,!@#$%^&*(),Vampire
mixed of alpha numeric special char,6694$%%^QWER,Vampire
Verify by entering aadhaar number less than 12 char,5394021658,Vampire
Verify by entering aadhaar number more than 12 char,53940216587555,Vampire
Verify by leaving aadhaar number empty,,Vampire
Verify by leaving aadhaar number empty space, ,Vampire
Verify by valid client ref number,539402165875,Vampire
Verify by in-valid client ref number,539402165875,!@#$%
Verify by leaving client ref number empty,539402165875,
Verify by leaving client ref number empty space,539402165875, 
Verify by entering client ref number as 45 char,539402165875,chandraprakashDchandraprakashDchandraprakashD
Verify by entering client ref number more than 45 char,539402165875,chandraprakashDchandraprakashDchandraprakashDCC
Verify by entering cancelled aadhaar number,877018020033,Vampire
Verify by entering inactive aadhaar number,702529921601,Vampire
Verify by entering the aadhaar number not exists,401977804665,Vampire
Verify by entering aadhaar number starts with 0,069446616170,Vampire
Verify by entering verhoff check aadhaar number,669446616171,Vampire
Verify by entering invalid aadhaar verhoff check passed,153118812136,Vampire
Verify by entering invalid aadhaar as all ones,111111111111,Vampire
Verify by entering invalid aadhaar as 111111111115,111111111115,Vampire
